ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
39003346,中古マンション等,,39201,高知県,高知市,本町,高知,15,１ＬＤＫ,55,,,,平成25年,ＲＣ,,,,,,商業地域,80.0,600.0,2017年第４四半期,改装済,,7.361727836017593
39025157,中古マンション等,,39201,高知県,高知市,北本町,高知,7,３ＬＤＫ,80,,,,平成20年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2009年第２四半期,未改装,,7.230448921378274
39000636,中古マンション等,,39201,高知県,高知市,一宮東町,土佐一宮,18,３ＬＤＫ,70,,,,平成14年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2020年第２四半期,未改装,,7.146128035678238
39002393,中古マンション等,,39201,高知県,高知市,中宝永町,高知,23,２ＬＤＫ,45,,,,平成2年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2017年第４四半期,,,6.778151250383644
39003396,中古マンション等,,39201,高知県,高知市,丸ノ内,入明,13,３ＬＤＫ,80,,,,,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第１四半期,未改装,,7.301029995663981
39011922,中古マンション等,,39201,高知県,高知市,南ノ丸町,高知,30分?60分,,45,,,,昭和60年,ＳＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2014年第４四半期,改装済,,6.3979400086720375
39000299,中古マンション等,,39201,高知県,高知市,薊野西町,薊野,5,４ＬＤＫ,95,,,,平成17年,ＳＲＣ,,住宅,,,,第２種住居地域,60.0,200.0,2020年第１四半期,,,7.414973347970818
39017535,中古マンション等,,39201,高知県,高知市,唐人町,菜園場町,5,３ＬＤＫ,85,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,未改装,,7.2552725051033065
39012435,中古マンション等,,39201,高知県,高知市,鴨部,旭(高知),15,３ＬＤＫ,70,,,,昭和52年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第１四半期,改装済,,6.913813852383717
39022177,中古マンション等,,39201,高知県,高知市,旭町,旭(高知),5,２ＬＤＫ,60,,,,昭和61年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2013年第２四半期,未改装,,6.778151250383644
39001604,中古マンション等,,39201,高知県,高知市,堺町,高知,14,１Ｋ,35,,,,,ＳＲＣ,住宅,住宅,,,,,,,2016年第３四半期,改装済,,6.6020599913279625
39011478,中古マンション等,,39201,高知県,高知市,上町,円行寺口,17,１ＤＫ,20,,,,,ＲＣ,住宅,住宅,,,,,,,2014年第３四半期,未改装,,6.5910646070264995
39002526,中古マンション等,,39201,高知県,高知市,廿代町,高知,12,,40,,,,平成2年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第２四半期,未改装,,6.763427993562937
39014868,中古マンション等,,39201,高知県,高知市,鴨部,高知商業前,20,２ＬＤＫ,60,,,,平成14年,ＳＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2011年第１四半期,未改装,,6.977723605288848
39025131,中古マンション等,,39201,高知県,高知市,上町,円行寺口,15,１ＤＫ,20,,,,平成3年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第４四半期,未改装,,6.3979400086720375
39012662,中古マンション等,,39201,高知県,高知市,桜井町,高知,11,３ＬＤＫ,75,,,,平成2年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第２四半期,改装済,,7.079181246047625
39011482,中古マンション等,,39201,高知県,高知市,鴨部,旭(高知),19,５ＬＤＫ,85,,,,平成6年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2014年第４四半期,未改装,,7.176091259055681
39028197,中古マンション等,,39201,高知県,高知市,南ノ丸町,高知,30分?60分,１ＤＫ,40,,,,昭和49年,ＳＲＣ,住宅,,,,,工業地域,60.0,200.0,2008年第２四半期,未改装,,6.431363764158987
39025361,中古マンション等,,39201,高知県,高知市,中宝永町,,,３ＬＤＫ,60,,,,,ＳＲＣ,住宅,,,,,,,,2009年第４四半期,未改装,,6.968482948553935
39022574,中古マンション等,,39201,高知県,高知市,北本町,高知,10,４ＬＤＫ,85,,,,平成7年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第４四半期,未改装,,7.146128035678238
39000302,中古マンション等,,39201,高知県,高知市,薊野西町,薊野,5,２ＬＤＫ,75,,,,平成17年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2019年第３四半期,改装済,,7.301029995663981
39001062,中古マンション等,,39201,高知県,高知市,上町,円行寺口,18,,25,,,,平成3年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2020年第３四半期,,,6.6127838567197355
39019317,中古マンション等,,39201,高知県,高知市,上町,円行寺口,18,１Ｋ,25,,,,平成3年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第１四半期,未改装,,6.491361693834273
39001165,中古マンション等,,39201,高知県,高知市,鴨部,高知商業前,18,,70,,,,,ＳＲＣ,住宅,住宅,,,,,,,2016年第３四半期,,,6.991226075692495
39025528,中古マンション等,,39201,高知県,高知市,比島町,土佐一宮,13,４ＬＤＫ,75,,,,平成5年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第４四半期,改装済,,7.0
39027471,中古マンション等,,39201,高知県,高知市,鴨部,旭(高知),,４ＬＤＫ,70,,,,平成6年,ＲＣ,住宅,,,,,,,,2008年第４四半期,未改装,,6.8750612633917
